,Movie Id,Title,Release Date,Popularity,Rating,Overview
118,3777,Throne of Blood,1957-01-15,9.26,8,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films."
119,334533,Captain Fantastic,2016-07-08,19.578,8,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.
120,213,North by Northwest,1959-07-17,16.649,8,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase."
121,369557,Sing Street,2016-04-15,7.431,8,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
122,947,Lawrence of Arabia,1962-12-10,14.651,8,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements."
123,10238,Cries and Whispers,1972-12-21,7.948,8,"As Agnes slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. Maria is wracked with guilt at her husband's suicide, caused by his discovery of her extramarital affair. The self-loathing, suicidal Karin seems to regard her sister with revulsion. Only Anna, the deeply religious maid who lost her young child, seems able to offer Agnes solace and empathy."
124,938,For a Few Dollars More,1967-05-10,18.583,8,"Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang."
125,631,Sunrise: A Song of Two Humans,1927-11-04,9.571,8,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife."
126,5544,Hiroshima Mon Amour,1959-06-10,6.033,8,"The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city."
127,10404,Raise the Red Lantern,1991-12-20,7.721,8,"China in the 1920s. After her father's death, 19 year old Songlian is forced to marry the much older lord of a powerful family. With three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. This competition gets out of hand..."
